ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
222,League of Legends,PUBG Mobile World Cup 2025,MENA,Vitality,Keria,25150831,1493174,10,2024,6,3,85,0.99,50
223,Counter-Strike 2,Valorant Champions 2024,OCE,Astralis,Leaf,6235205,4040574,6,2025,7,2,56,1.07,28.57
224,Counter-Strike 2,BLAST Premier World Final 2025,SA,Astralis,ShowMaker,39800220,2719505,14,2023,3,2,216,1.32,66.67
225,Fortnite,BLAST Premier World Final 2024,NA,100 Thieves,Leaf,21256868,1674146,13,2023,5,3,82,1.4,60
226,Counter-Strike 2,Fortnite FNCS Global Championship 2025,OCE,Paper Rex,Sh1ro,16299897,4045434,12,2023,6,4,142,1.49,66.67
227,League of Legends,LoL Worlds 2024,ASIA,Astralis,Ana,32333705,1226608,6,2025,7,1,224,0.95,14.29
228,League of Legends,The International 2025,OCE,Cloud9,NiKo,6413117,2231115,3,2025,5,2,270,1.28,40
229,Valorant,PUBG Mobile World Cup 2025,EU,FaZe Clan,Leaf,10645889,3715204,6,2024,7,5,151,1.07,71.43
230,Dota 2,Valorant Champions 2025,NA,G2 Esports,Leaf,18683501,1700210,12,2024,7,2,227,1.26,28.57
231,Dota 2,BLAST Premier World Final 2024,NA,100 Thieves,Ana,39503172,4770039,5,2025,7,6,287,1.51,85.71
232,Fortnite,The International 2025,OCE,Paper Rex,Ana,18996217,203034,11,2024,6,4,102,1.48,66.67
233,Valorant,Fortnite FNCS Global Championship 2024,OCE,Fnatic,Aspas,14518011,4508637,12,2024,3,3,118,1.17,100
234,Dota 2,BLAST Premier World Final 2024,SA,Natus Vincere,ZywOo,22907693,4212681,6,2024,3,3,235,1.21,100
235,League of Legends,LoL Worlds 2024,SA,Cloud9,Leaf,20361153,1464798,3,2025,6,3,260,1.5,50
236,League of Legends,The International 2024,SA,Fnatic,Leaf,25707256,2916662,11,2025,3,2,235,1.22,66.67
237,Dota 2,Valorant Champions 2024,NA,OG,Nisha,10697771,3698830,12,2025,5,1,52,1.56,20
238,PUBG Mobile,PUBG Mobile World Cup 2025,SA,FaZe Clan,b1t,780842,3753827,13,2023,6,3,267,1.37,50
239,Counter-Strike 2,The International 2025,SA,Astralis,b1t,28590055,1873992,4,2023,6,5,103,1.3,83.33
240,Valorant,Valorant Champions 2024,OCE,Natus Vincere,Nisha,9786171,3433163,6,2025,5,4,219,1.17,80
241,Valorant,BLAST Premier World Final 2025,NA,Sentinels,Faker,16167692,4991916,7,2025,5,2,200,1.21,40
242,Valorant,Valorant Champions 2025,ASIA,Paper Rex,Keria,29432199,342475,9,2024,5,2,207,1.02,40
243,PUBG Mobile,LoL Worlds 2024,SA,Sentinels,Nisha,3618786,4469694,13,2023,6,2,185,0.94,33.33
244,Dota 2,BLAST Premier World Final 2024,NA,T1,NiKo,13433458,2859164,6,2024,5,3,70,1.23,60
245,Fortnite,The International 2024,SA,Fnatic,Ana,14749698,2074174,7,2023,6,5,116,1.5,83.33
246,Counter-Strike 2,Fortnite FNCS Global Championship 2025,ASIA,T1,TenZ,29610609,3770935,9,2024,4,2,116,1.32,50
247,Dota 2,PUBG Mobile World Cup 2024,EU,Natus Vincere,Faker,22190367,4948118,4,2023,6,5,100,1.41,83.33
248,League of Legends,Valorant Champions 2024,MENA,Astralis,s1mple,37596256,1189529,8,2024,4,1,184,1.42,25
249,PUBG Mobile,PUBG Mobile World Cup 2025,OCE,Vitality,Boombl4,30847156,282254,12,2025,6,5,184,0.9,83.33
250,Valorant,LoL Worlds 2024,MENA,Vitality,Leaf,33454778,1643070,9,2025,3,2,156,1.06,66.67
251,Fortnite,LoL Worlds 2024,ASIA,Sentinels,Ana,21391391,4804922,13,2025,5,3,198,0.8,60
252,Counter-Strike 2,BLAST Premier World Final 2025,SA,Team Spirit,ShowMaker,7712195,2763646,5,2025,5,4,139,0.87,80
253,PUBG Mobile,Fortnite FNCS Global Championship 2025,EU,Astralis,ShowMaker,23536839,3352868,13,2023,6,2,50,1.28,33.33
254,Dota 2,The International 2025,MENA,T1,Faker,12509553,163045,3,2023,6,4,76,1.31,66.67
255,Dota 2,The International 2024,SA,Fnatic,ShowMaker,38839411,295714,14,2024,4,1,95,1.45,25
256,Valorant,The International 2024,MENA,Natus Vincere,TenZ,2603171,4561187,3,2024,3,2,273,0.94,66.67
257,Fortnite,Valorant Champions 2024,OCE,Astralis,Nisha,25379295,4566598,8,2023,5,3,242,1.41,60
258,Counter-Strike 2,BLAST Premier World Final 2025,EU,Cloud9,Boombl4,19685123,4791390,11,2023,5,3,113,0.95,60
259,Fortnite,PUBG Mobile World Cup 2024,EU,Cloud9,Boombl4,37829147,4915759,12,2025,4,2,138,1.23,50
260,PUBG Mobile,PUBG Mobile World Cup 2024,MENA,Paper Rex,Keria,4427241,2425794,7,2023,6,6,103,1.1,100
261,Dota 2,The International 2025,OCE,Natus Vincere,Ana,23767028,3070588,12,2023,3,1,201,1.08,33.33
262,PUBG Mobile,Valorant Champions 2024,NA,T1,ShowMaker,26705918,790446,14,2025,6,2,66,1.14,33.33
263,League of Legends,BLAST Premier World Final 2025,NA,Fnatic,Ana,1577470,2189712,11,2023,6,3,58,0.98,50
264,Valorant,BLAST Premier World Final 2024,OCE,G2 Esports,Leaf,21917007,1160830,3,2024,6,6,208,1.58,100
265,Dota 2,The International 2025,MENA,Vitality,ShowMaker,20840315,2085866,11,2025,3,1,141,0.92,33.33
266,League of Legends,LoL Worlds 2024,ASIA,OG,Derke,25095482,1076806,6,2024,6,6,78,1.3,100
267,Counter-Strike 2,Valorant Champions 2025,SA,Vitality,ShowMaker,5005408,1089737,6,2023,3,3,104,0.91,100
268,Fortnite,LoL Worlds 2024,OCE,G2 Esports,Boombl4,24381622,288538,12,2023,4,2,178,1.5,50
269,League of Legends,PUBG Mobile World Cup 2024,NA,FaZe Clan,Sh1ro,17424208,3933598,3,2025,6,4,135,1.29,66.67
270,Dota 2,LoL Worlds 2024,OCE,OG,Derke,37359971,3740423,6,2025,5,5,202,1.47,100
271,Counter-Strike 2,BLAST Premier World Final 2024,ASIA,G2 Esports,Ana,30429487,4420386,9,2024,6,2,140,1.07,33.33
272,Fortnite,Valorant Champions 2024,EU,Team Spirit,Faker,3115102,4448178,4,2025,4,2,202,1.47,50
273,Valorant,The International 2025,MENA,Cloud9,Sh1ro,34843933,4987712,6,2025,5,1,280,1.04,20
274,Dota 2,BLAST Premier World Final 2025,EU,G2 Esports,s1mple,36373455,4753131,3,2023,7,2,95,0.81,28.57
275,Fortnite,The International 2024,NA,T1,Leaf,13625057,4389895,3,2023,3,2,57,0.89,66.67
276,Dota 2,BLAST Premier World Final 2024,SA,Cloud9,Boombl4,33442914,4630611,12,2024,6,1,262,0.81,16.67
277,Valorant,PUBG Mobile World Cup 2025,NA,T1,Faker,13479004,709017,13,2023,5,2,104,1.29,40
278,Valorant,LoL Worlds 2025,MENA,Natus Vincere,Aspas,34146223,2587139,12,2025,7,2,107,1.31,28.57
279,PUBG Mobile,LoL Worlds 2024,ASIA,Team Spirit,Sh1ro,18937418,1004241,5,2023,7,7,297,1.05,100
280,PUBG Mobile,The International 2024,ASIA,FaZe Clan,Ana,20698919,4575772,6,2023,7,5,134,1.17,71.43
281,League of Legends,LoL Worlds 2025,SA,Sentinels,ShowMaker,35234263,3186950,7,2023,7,5,196,1.08,71.43
282,Counter-Strike 2,LoL Worlds 2025,EU,Team Spirit,Leaf,5985468,1423776,12,2025,5,4,262,0.9,80
283,Valorant,The International 2025,OCE,Evil Geniuses,Derke,33390485,1525862,4,2025,3,3,63,1.43,100
284,Counter-Strike 2,PUBG Mobile World Cup 2024,OCE,Astralis,Sh1ro,12759284,3781566,14,2025,3,3,118,1.44,100
285,Fortnite,The International 2024,MENA,Natus Vincere,Aspas,11893637,4420398,10,2024,3,1,80,1.56,33.33
286,Fortnite,Fortnite FNCS Global Championship 2024,OCE,Natus Vincere,TenZ,14968158,3129331,3,2024,5,5,285,1.55,100
287,League of Legends,Fortnite FNCS Global Championship 2025,OCE,Cloud9,TenZ,20315211,4668044,14,2024,6,5,149,1.46,83.33
288,League of Legends,The International 2025,EU,Team Liquid,TenZ,19108577,3950364,8,2024,5,1,289,1.19,20
289,Fortnite,The International 2024,MENA,OG,NiKo,3726092,3145984,6,2025,7,6,250,0.81,85.71
290,Counter-Strike 2,BLAST Premier World Final 2024,EU,100 Thieves,TenZ,8909378,452473,5,2024,7,3,289,1.59,42.86
291,Fortnite,The International 2025,NA,Paper Rex,Boombl4,36427675,358245,13,2025,7,7,151,1.15,100
292,Counter-Strike 2,The International 2025,MENA,Vitality,Keria,2579759,4848377,3,2025,3,1,158,1.52,33.33
293,PUBG Mobile,BLAST Premier World Final 2025,EU,Cloud9,Sh1ro,14662393,1127990,5,2025,3,2,94,0.94,66.67
294,Valorant,PUBG Mobile World Cup 2025,OCE,Sentinels,Sh1ro,9703034,927867,8,2024,4,2,98,0.96,50
295,Dota 2,Valorant Champions 2024,MENA,Natus Vincere,b1t,1121517,4485697,13,2025,6,6,245,1.48,100
296,PUBG Mobile,The International 2025,MENA,Evil Geniuses,NiKo,14673086,1951067,8,2025,7,4,126,1.59,57.14
297,PUBG Mobile,PUBG Mobile World Cup 2024,MENA,Team Liquid,s1mple,35215129,1280190,11,2023,7,1,264,0.95,14.29
298,Valorant,LoL Worlds 2024,SA,G2 Esports,ShowMaker,16394635,1734380,10,2025,6,3,281,1.46,50
299,Counter-Strike 2,LoL Worlds 2024,ASIA,Team Liquid,ShowMaker,39603323,537500,4,2025,3,2,109,1.07,66.67
300,Dota 2,Valorant Champions 2024,ASIA,Team Liquid,b1t,17060432,4644609,14,2023,3,3,244,1.25,100
301,Fortnite,The International 2025,EU,Cloud9,ShowMaker,33738854,864710,4,2023,4,1,201,1.43,25
302,Dota 2,Valorant Champions 2024,NA,FaZe Clan,Leaf,11601084,1849635,3,2023,3,3,76,1.07,100
303,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Team Spirit,TenZ,14043209,2504775,14,2025,3,3,63,1.42,100
304,PUBG Mobile,BLAST Premier World Final 2025,ASIA,Paper Rex,NiKo,38398649,3320231,13,2025,3,2,201,1.55,66.67
305,League of Legends,Valorant Champions 2024,SA,Natus Vincere,Leaf,33429475,74766,12,2025,4,3,292,1.26,75
306,League of Legends,LoL Worlds 2025,MENA,Paper Rex,Derke,8796124,1834060,11,2024,6,6,172,0.98,100
307,Counter-Strike 2,Valorant Champions 2025,EU,G2 Esports,Derke,9452762,1381949,14,2023,4,2,119,1.29,50
308,PUBG Mobile,PUBG Mobile World Cup 2024,OCE,Sentinels,Leaf,15544348,764947,5,2023,6,4,266,0.89,66.67
309,Counter-Strike 2,PUBG Mobile World Cup 2024,MENA,G2 Esports,Derke,3221018,1019496,11,2023,4,4,62,0.81,100
310,League of Legends,The International 2025,OCE,Team Spirit,Sh1ro,38949190,2341382,11,2025,4,1,256,1.09,25
311,Valorant,Valorant Champions 2025,ASIA,Evil Geniuses,ShowMaker,37697118,1689239,12,2024,3,1,167,1.39,33.33
312,Counter-Strike 2,The International 2025,OCE,Fnatic,Sh1ro,15885366,1013413,7,2025,3,3,102,1.48,100
313,League of Legends,The International 2025,MENA,Paper Rex,ZywOo,26309298,2445083,3,2024,3,1,116,0.89,33.33
314,PUBG Mobile,LoL Worlds 2024,MENA,Astralis,NiKo,5902416,1221037,12,2024,6,5,253,1.56,83.33
315,Counter-Strike 2,Valorant Champions 2024,OCE,Sentinels,Derke,18135448,2820956,4,2025,3,2,72,1.37,66.67
316,League of Legends,PUBG Mobile World Cup 2025,ASIA,Astralis,b1t,19437663,3405658,4,2025,5,1,130,1.5,20
317,PUBG Mobile,Valorant Champions 2024,ASIA,Astralis,Boombl4,1643051,1274246,14,2025,7,7,299,1.26,100
318,PUBG Mobile,Valorant Champions 2024,OCE,G2 Esports,NiKo,21964291,3553932,9,2023,6,5,152,1.03,83.33
319,PUBG Mobile,Valorant Champions 2025,SA,G2 Esports,Sh1ro,3544547,2944244,14,2023,7,1,103,1.12,14.29
320,Counter-Strike 2,Fortnite FNCS Global Championship 2024,OCE,Cloud9,b1t,38865054,1794221,13,2023,4,2,178,1.59,50
321,Fortnite,LoL Worlds 2025,EU,Vitality,Aspas,3048491,3419999,8,2025,5,2,59,1.11,40
322,League of Legends,LoL Worlds 2024,NA,FaZe Clan,NiKo,37534541,2449815,12,2024,7,7,232,1,100
323,League of Legends,BLAST Premier World Final 2025,SA,OG,b1t,17153546,3584054,6,2023,5,4,224,1.03,80
324,Valorant,Valorant Champions 2024,SA,100 Thieves,ShowMaker,17643493,2464555,5,2023,4,4,191,1.09,100
325,PUBG Mobile,Fortnite FNCS Global Championship 2025,NA,Natus Vincere,s1mple,37198880,1289058,10,2024,6,1,123,1.1,16.67
326,Dota 2,Fortnite FNCS Global Championship 2025,NA,Team Spirit,ZywOo,25960470,1688560,4,2025,7,3,139,1.55,42.86
327,Dota 2,PUBG Mobile World Cup 2025,OCE,Evil Geniuses,b1t,6685918,1150571,11,2023,7,7,177,0.88,100
328,Counter-Strike 2,BLAST Premier World Final 2025,ASIA,Evil Geniuses,Leaf,16294477,4637699,9,2023,5,2,198,1.31,40
329,Counter-Strike 2,The International 2024,NA,Sentinels,b1t,26073425,3298900,5,2023,5,2,197,1.2,40
330,Counter-Strike 2,BLAST Premier World Final 2025,EU,Vitality,Aspas,38463131,2129831,5,2024,3,2,169,1.51,66.67
331,Counter-Strike 2,BLAST Premier World Final 2024,ASIA,Evil Geniuses,Leaf,29963994,4129260,10,2025,6,6,185,0.91,100
332,League of Legends,Fortnite FNCS Global Championship 2024,ASIA,G2 Esports,Leaf,10060291,2984147,3,2024,7,2,260,1.06,28.57
333,League of Legends,Fortnite FNCS Global Championship 2024,NA,T1,Nisha,11245857,2762309,4,2023,3,3,231,0.88,100
334,League of Legends,LoL Worlds 2024,EU,Team Spirit,NiKo,34283003,1421783,6,2023,6,5,276,1.34,83.33
335,PUBG Mobile,BLAST Premier World Final 2025,ASIA,Cloud9,Keria,24033805,3162574,3,2023,5,4,59,1,80
336,League of Legends,BLAST Premier World Final 2024,NA,Natus Vincere,Aspas,1160868,3389382,13,2023,5,2,61,1.57,40
337,Valorant,BLAST Premier World Final 2025,EU,Team Spirit,ZywOo,4869468,3539342,8,2023,4,1,179,1.23,25
338,Valorant,PUBG Mobile World Cup 2025,SA,Cloud9,Derke,20205185,2423065,4,2023,5,2,208,1.36,40
339,Valorant,The International 2025,SA,Natus Vincere,Aspas,13572731,390743,6,2025,4,4,117,1.24,100
340,Fortnite,Valorant Champions 2025,SA,Cloud9,Derke,19425618,3187987,6,2025,4,2,143,0.97,50
341,Counter-Strike 2,The International 2024,ASIA,Cloud9,Nisha,31809415,3271566,9,2025,4,4,248,0.97,100
342,PUBG Mobile,Fortnite FNCS Global Championship 2025,ASIA,Natus Vincere,Leaf,15243806,3613922,3,2024,6,3,153,1.47,50
343,PUBG Mobile,BLAST Premier World Final 2025,SA,Fnatic,ShowMaker,12664165,2872486,3,2023,6,3,60,1.46,50
344,League of Legends,Fortnite FNCS Global Championship 2024,NA,Astralis,Boombl4,27031647,1135272,12,2024,5,4,224,1.48,80
345,League of Legends,PUBG Mobile World Cup 2025,ASIA,Team Spirit,Boombl4,5761364,1409174,10,2024,6,6,178,1.19,100
346,League of Legends,PUBG Mobile World Cup 2024,SA,G2 Esports,Faker,27107154,745139,10,2024,5,5,91,1.03,100
347,Dota 2,LoL Worlds 2025,SA,FaZe Clan,Nisha,9910071,560973,14,2025,4,2,266,1.25,50
348,PUBG Mobile,BLAST Premier World Final 2024,OCE,Cloud9,Leaf,17686843,1046469,6,2024,3,2,124,0.95,66.67
349,Counter-Strike 2,BLAST Premier World Final 2025,OCE,Natus Vincere,Aspas,9000881,994027,3,2023,3,1,292,1.27,33.33
350,Dota 2,The International 2024,OCE,Team Liquid,ZywOo,20461015,4839488,4,2025,5,1,240,1.53,20
351,PUBG Mobile,The International 2025,SA,Sentinels,Keria,24497298,2186241,5,2024,7,3,222,1.34,42.86
352,Valorant,PUBG Mobile World Cup 2024,ASIA,Vitality,Keria,25057932,1615540,14,2025,6,2,69,1.4,33.33
353,Valorant,PUBG Mobile World Cup 2025,OCE,Evil Geniuses,Faker,19550416,469482,10,2023,4,2,270,1.18,50
354,Valorant,PUBG Mobile World Cup 2025,MENA,Vitality,Aspas,30873286,1424399,13,2024,3,3,91,0.87,100
355,Valorant,LoL Worlds 2024,ASIA,Astralis,NiKo,37239744,3562334,6,2025,7,6,82,1.5,85.71
356,PUBG Mobile,Fortnite FNCS Global Championship 2024,NA,G2 Esports,b1t,6217028,386797,14,2024,4,3,244,1.09,75
357,Dota 2,BLAST Premier World Final 2025,NA,G2 Esports,Nisha,17130274,3813216,4,2024,5,2,100,1.46,40
358,Fortnite,LoL Worlds 2025,NA,Cloud9,Sh1ro,36490436,4576522,7,2025,4,2,214,0.91,50
359,Counter-Strike 2,PUBG Mobile World Cup 2025,ASIA,Natus Vincere,s1mple,18788174,1274644,7,2023,3,2,72,1.18,66.67
360,PUBG Mobile,LoL Worlds 2025,NA,Natus Vincere,NiKo,8114784,3723006,11,2025,6,4,300,1.29,66.67
361,Dota 2,BLAST Premier World Final 2025,SA,Astralis,Nisha,35371132,2828997,12,2025,3,2,92,1.55,66.67
362,Dota 2,Fortnite FNCS Global Championship 2025,MENA,T1,Leaf,32163299,2424010,14,2024,3,3,55,1.22,100
363,Fortnite,Valorant Champions 2024,EU,Team Liquid,Derke,19066830,2695740,4,2025,3,2,268,1.45,66.67
364,Counter-Strike 2,Fortnite FNCS Global Championship 2025,MENA,FaZe Clan,Derke,25296945,3456554,14,2024,4,1,260,1.11,25
365,Valorant,LoL Worlds 2024,OCE,Team Liquid,Ana,4785229,789030,13,2024,3,2,149,1.14,66.67
366,PUBG Mobile,Valorant Champions 2024,ASIA,Astralis,Faker,21980280,2247265,13,2023,7,2,277,0.82,28.57
367,Dota 2,Fortnite FNCS Global Championship 2024,MENA,Paper Rex,Derke,6847123,1434460,12,2025,7,4,61,1.59,57.14
368,Fortnite,Valorant Champions 2025,ASIA,Astralis,Keria,34081503,390704,8,2023,6,4,117,1.51,66.67
369,PUBG Mobile,PUBG Mobile World Cup 2025,ASIA,Sentinels,b1t,39808087,2866710,13,2025,7,7,93,1.55,100
370,Dota 2,Valorant Champions 2025,ASIA,100 Thieves,s1mple,2964029,329197,12,2025,4,3,249,1.14,75
371,PUBG Mobile,PUBG Mobile World Cup 2025,SA,Evil Geniuses,b1t,3402296,3530235,11,2025,6,2,252,1.08,33.33
372,Dota 2,PUBG Mobile World Cup 2025,MENA,Vitality,Keria,38690089,3511489,3,2025,6,4,246,0.82,66.67
373,Counter-Strike 2,Fortnite FNCS Global Championship 2025,NA,Sentinels,Sh1ro,5178552,918433,9,2024,7,7,243,0.96,100
374,Valorant,BLAST Premier World Final 2024,EU,Team Liquid,TenZ,4808064,3911789,14,2024,3,3,164,1.38,100
375,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Natus Vincere,NiKo,34045459,3271673,5,2025,7,5,241,0.84,71.43
376,Fortnite,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,Nisha,32364825,2855474,3,2025,7,1,60,1.06,14.29
377,Dota 2,Fortnite FNCS Global Championship 2024,MENA,FaZe Clan,b1t,24525661,2470425,13,2023,7,4,120,0.9,57.14
378,PUBG Mobile,LoL Worlds 2024,OCE,OG,TenZ,5570044,1439366,14,2025,5,1,259,1.07,20
379,Fortnite,LoL Worlds 2024,ASIA,Team Spirit,Leaf,5363169,638350,8,2025,4,2,237,1.33,50
380,PUBG Mobile,LoL Worlds 2024,NA,FaZe Clan,Ana,10595210,447590,6,2023,5,5,246,1.12,100
381,Dota 2,LoL Worlds 2024,MENA,G2 Esports,Derke,39424220,3778898,8,2024,4,3,273,1.17,75
382,PUBG Mobile,Fortnite FNCS Global Championship 2025,MENA,Vitality,TenZ,8823944,2795579,6,2023,4,1,171,0.85,25
383,Counter-Strike 2,BLAST Premier World Final 2024,ASIA,T1,TenZ,2516557,3661452,9,2023,5,2,280,1,40
384,Valorant,The International 2024,SA,FaZe Clan,TenZ,15443787,2883934,3,2024,3,2,188,1.52,66.67
385,Valorant,BLAST Premier World Final 2024,MENA,T1,Derke,18216941,4523327,7,2023,3,1,120,1.19,33.33
386,Valorant,BLAST Premier World Final 2025,NA,Astralis,Leaf,17191954,2878366,6,2023,6,1,71,1.17,16.67
387,PUBG Mobile,BLAST Premier World Final 2024,NA,T1,Faker,4069230,1537317,10,2024,4,4,201,1.59,100
388,Fortnite,Valorant Champions 2025,NA,Astralis,TenZ,37496652,4714491,4,2024,7,6,165,0.81,85.71
389,PUBG Mobile,BLAST Premier World Final 2025,ASIA,Cloud9,Sh1ro,12392805,4868398,3,2025,5,5,153,0.98,100
390,League of Legends,PUBG Mobile World Cup 2025,SA,Paper Rex,ZywOo,19512873,2544128,6,2023,6,5,58,0.86,83.33
391,Counter-Strike 2,Valorant Champions 2025,EU,Paper Rex,Keria,33223435,3014851,11,2023,3,1,231,1.26,33.33
392,Fortnite,LoL Worlds 2025,EU,Evil Geniuses,b1t,14701387,4955618,11,2024,6,3,268,0.85,50
393,League of Legends,Fortnite FNCS Global Championship 2024,NA,Paper Rex,Derke,31883974,242592,3,2025,3,1,299,1.15,33.33
394,PUBG Mobile,BLAST Premier World Final 2024,ASIA,Vitality,Aspas,27597545,4889844,8,2023,4,4,107,1.01,100
395,Counter-Strike 2,Fortnite FNCS Global Championship 2024,EU,100 Thieves,Aspas,32364604,3212978,8,2024,5,2,192,1.01,40
396,Dota 2,LoL Worlds 2025,NA,Astralis,Aspas,31329650,4462189,8,2023,6,3,260,1.07,50
397,Valorant,BLAST Premier World Final 2025,NA,FaZe Clan,NiKo,8406996,1470393,7,2023,5,2,183,1.52,40
398,League of Legends,BLAST Premier World Final 2025,NA,Paper Rex,Sh1ro,33301165,2819165,3,2023,4,1,148,1.46,25
399,Fortnite,Fortnite FNCS Global Championship 2024,SA,Astralis,Aspas,35095523,2917531,13,2023,6,2,298,1.46,33.33
400,League of Legends,LoL Worlds 2025,EU,Natus Vincere,TenZ,35794077,3606543,6,2024,5,5,59,1.33,100
401,League of Legends,Valorant Champions 2025,MENA,Team Liquid,Ana,18032154,55389,4,2025,3,2,125,1.02,66.67
402,Valorant,Valorant Champions 2025,EU,Vitality,b1t,33247900,3039558,7,2025,6,3,167,1.35,50
403,PUBG Mobile,BLAST Premier World Final 2024,MENA,Team Liquid,NiKo,18298669,2789695,4,2023,3,2,179,1.45,66.67
404,Dota 2,Valorant Champions 2025,OCE,Fnatic,b1t,33128706,2119267,7,2025,5,2,167,1.01,40
405,Dota 2,BLAST Premier World Final 2024,MENA,FaZe Clan,Leaf,36121619,1854919,7,2023,4,4,150,1.56,100
406,Dota 2,PUBG Mobile World Cup 2025,MENA,Vitality,NiKo,35025714,4018607,13,2023,5,5,112,1.26,100
407,Valorant,The International 2025,EU,Fnatic,Sh1ro,4642979,2994006,13,2025,5,3,130,0.81,60
408,Valorant,PUBG Mobile World Cup 2025,NA,Team Spirit,Keria,9602414,1109212,13,2025,5,2,206,0.85,40
409,Valorant,BLAST Premier World Final 2024,SA,OG,Boombl4,23495750,3094240,6,2025,6,2,92,0.81,33.33
410,Counter-Strike 2,Fortnite FNCS Global Championship 2025,OCE,Sentinels,Nisha,27174256,4470296,7,2023,5,5,196,1.48,100
411,Fortnite,PUBG Mobile World Cup 2025,MENA,G2 Esports,Nisha,36162441,4265198,12,2025,3,3,52,1.43,100
412,League of Legends,LoL Worlds 2025,ASIA,Natus Vincere,ShowMaker,24467477,3187939,13,2024,4,4,58,1.39,100
413,Dota 2,Valorant Champions 2025,OCE,Team Liquid,Ana,5733153,2570040,5,2023,3,3,154,1.27,100
414,Valorant,Valorant Champions 2024,ASIA,Natus Vincere,Boombl4,15714215,4293393,4,2025,7,6,134,1.57,85.71
415,Valorant,LoL Worlds 2024,NA,Team Liquid,Faker,21744448,1228155,12,2025,5,2,183,1.07,40
416,League of Legends,PUBG Mobile World Cup 2025,MENA,100 Thieves,s1mple,27709889,1773189,5,2025,4,2,230,0.8,50
417,Dota 2,LoL Worlds 2024,EU,Sentinels,TenZ,27028706,3608221,10,2023,4,4,162,0.9,100
418,PUBG Mobile,The International 2024,ASIA,Natus Vincere,TenZ,11578840,4072593,5,2024,3,3,52,0.93,100
419,Valorant,Valorant Champions 2025,OCE,Cloud9,Faker,13411152,4262772,10,2023,4,3,160,1.1,75
420,PUBG Mobile,PUBG Mobile World Cup 2024,OCE,Natus Vincere,Boombl4,16776443,3176547,3,2025,6,3,155,1.22,50
421,Counter-Strike 2,Valorant Champions 2024,MENA,Vitality,Keria,7813132,3519875,14,2024,6,1,102,0.91,16.67
422,Fortnite,LoL Worlds 2025,SA,Team Spirit,Keria,39274187,4752746,8,2023,4,3,224,1.4,75
423,Dota 2,Fortnite FNCS Global Championship 2025,ASIA,Paper Rex,Nisha,16896597,4209747,13,2023,6,1,97,1.51,16.67
424,Counter-Strike 2,BLAST Premier World Final 2024,SA,Paper Rex,s1mple,671124,2378917,13,2025,4,3,293,1.02,75
425,Counter-Strike 2,Valorant Champions 2025,EU,Team Spirit,Aspas,23198894,3437040,3,2023,3,3,239,1.47,100
426,Fortnite,Valorant Champions 2025,OCE,FaZe Clan,ZywOo,39669716,492571,5,2025,7,7,212,1.42,100
427,Fortnite,BLAST Premier World Final 2025,ASIA,OG,b1t,23905794,4871306,9,2023,4,2,106,1.57,50
428,Valorant,PUBG Mobile World Cup 2025,OCE,Paper Rex,Keria,19176745,3887940,8,2025,6,3,157,1.41,50
429,Valorant,BLAST Premier World Final 2024,SA,Team Liquid,Faker,2192604,2688595,6,2025,4,4,151,1.3,100
430,PUBG Mobile,Fortnite FNCS Global Championship 2024,MENA,FaZe Clan,b1t,30948167,1314475,5,2025,6,4,57,1.55,66.67
431,Valorant,Fortnite FNCS Global Championship 2025,SA,Evil Geniuses,Nisha,28178593,4607541,5,2025,5,5,133,1.24,100
432,Fortnite,The International 2024,NA,Team Spirit,Nisha,20836688,1803483,12,2025,6,5,244,1.23,83.33
433,Dota 2,Fortnite FNCS Global Championship 2024,SA,OG,b1t,38359783,2789755,6,2023,7,2,201,1.15,28.57
434,PUBG Mobile,LoL Worlds 2025,MENA,Team Liquid,TenZ,24696641,4848145,5,2025,7,4,242,0.97,57.14
435,PUBG Mobile,Fortnite FNCS Global Championship 2025,SA,Evil Geniuses,b1t,13559032,2297455,11,2023,4,3,222,1.08,75
436,Counter-Strike 2,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,b1t,21468490,3094792,13,2024,6,3,190,1.48,50
437,League of Legends,LoL Worlds 2024,OCE,Team Spirit,Leaf,4058369,658502,6,2024,4,4,76,1.48,100
438,Valorant,LoL Worlds 2025,NA,FaZe Clan,Boombl4,6371578,835075,9,2025,3,3,267,1.24,100
439,Counter-Strike 2,LoL Worlds 2024,SA,Fnatic,Nisha,3521224,1664703,10,2024,6,4,251,1.48,66.67
440,Fortnite,The International 2025,SA,Team Spirit,Boombl4,2487502,1334482,12,2023,6,1,147,1.25,16.67
441,PUBG Mobile,Valorant Champions 2024,MENA,Team Spirit,b1t,11183406,1808029,9,2023,3,2,172,0.87,66.67
442,PUBG Mobile,Fortnite FNCS Global Championship 2025,OCE,T1,ZywOo,15586117,104041,12,2025,6,1,233,1.23,16.67
443,Valorant,Fortnite FNCS Global Championship 2024,NA,Team Liquid,b1t,30213759,645539,7,2024,4,2,165,1.5,50
